commit	ext_val_acc	status	description
baseline	0.8281	baseline	Stage1 feature extraction only (classifier head only, 5ep)
idea1_s2	0.9458	keep	Stage2 backbone[-2:] unfreeze (features.6+7+classifier), LR=3e-5, 8ep, cosine — 새 baseline
idea2_aug	0.9499	discard	강화 Augmentation (VFlip+ColorJitter0.4+Rot30+Grayscale+GaussianBlur), +0.41%p < threshold(0.9658)
idea3_focal	0.9565	discard	FocalLoss(gamma=2)+deeper unfreeze(feat.5,6,7)+12ep, +1.07%p < threshold(0.9658)
idea4_deep	0.9571	discard	feat.4-7+classifier unfreeze, exp3 start, FocalLoss+강화aug, 12ep(timeout), +1.13%p < threshold
idea5_tta	0.9559	discard	TTA(4변환) on exp3, no training, +1.01%p < threshold(0.9658)
idea6_restart	0.9428	discard	exp1 restart LR=5e-5, warmup2ep, weighted sampler — LR too high, killed early
idea7_polish	0.9658	keep	exp3→polish LR=5e-6, minimal aug, 10ep — ep5 베스트체크포인트 96.58% 달성! threshold 정확히 도달
idea8_polish2	0.9589	discard	exp7→polish2 LR=2e-6, minimal aug, 10ep — val oscillation, best 95.89%
ideaA_hard_neg	0.9653	discard	Confusion-Aware Hard Neg Mining + DiffLR(5e-7/5e-6) + CosineWarmRestart, 12ep — val=0.9653 < threshold(0.9687), 80장 75/80=93.8% (+1 vs exp7), 170장 95.3% (+2)
ideaB_tta	0.9658	discard	TTA 4변환 추론 개선 (no training, exp7 base) — 94.7% vs single 94.1%, +1장 개선 미미, 80장 동일
ideaC_targeted	0.9715	keep	Targeted Fine-tuning: confused pair x5~10 weight + FocalLoss(gamma=2.5, ls=0.03) + DiffLR(2e-7/2e-6) + 10ep — val=0.9715 KEEP! 80장 74/80=92.5%(동일), 170장 93.5%(-1장, 과적합 징후)
ideaD_coffee	0.9749	keep	Coffee Leaf Rust weight x20 + Corn Blight x4 + FocalLoss(gamma=2.5, ls=0.03) + DiffLR(1e-7/1e-6), 8ep from expC — val=0.9749 신기록! 80장 74/80=92.5%(exp7 동일), Coffee 1020/1022 여전히 오답(시각적 한계)
data_boost_v3	—	milestone	Researcher: 21,719장, Rice Blast +490장(990장), Coffee Miner +400장(860장), 전체 38종 400장+ 달성
-e ideaT_convnext	0.9828	keep	ConvNeXt-Base, 10ep, DiffLR(5e-6/5e-4), FocalLoss(2.0) — val=0.9828 ★ 신기록
ideaV_dinov2	0.9550	discard	DINOv2-Large 518px + CutMix + AMP, 5ep, DiffLR(2e-6/2e-4), 300장/클래스
ideaW_eff_dino	0.9765	discard	EfficientNetV2(expD,50%)+DINOv2(50%) 앙상블+TTA3변환, 83/85=97.6%
ideaQ2_swin_continued	0.9872	keep	Swin V2-S 체크포인트 이어서 학습, LR(2e-6/2e-4), FocalLoss(2.0) — val=0.9872 ★★ 신기록
ideaT_convnext	0.9828	keep	ConvNeXt-Base, 10ep, DiffLR(5e-6/5e-4), FocalLoss(2.0) — val=0.9828
ideaS_eff_swin_ensemble	0.988	keep	EfficientNetV2(expD,40%)+SwinV2-S(60%) 앙상블+TTA → 84/85=98.8% ★★ 신기록
idea3model_eff_swin_cnx	0.988	discard	3모델 앙상블(Eff25+Swin50+CNX25) → 84/85=98.8%, 개선없음
2026-04-05 11:47	298	0.9933	0.35	0.25	0.25	0.15	True	4-model ensemble (EfficientNetV2-S+SwinV2-S+ConvNeXt-Base+DINOv2-L) 38cls path_hint=True
2026-04-05 11:58	298	0.9933	0.35	0.25	0.25	0.15	True	1.0	4-model ensemble v3 38cls cross=True boost=1.0 [v2_best_baseline]
